dates,ts0,infec,leitos,uti,dth,dthcm
06/03/2020,8,1,0,0,0,0
07/03/2020,9,2,0,0,0,0
08/03/2020,10,2,0,0,0,0
09/03/2020,11,2,0,0,0,0
10/03/2020,12,2,0,0,0,0
11/03/2020,13,3,0,0,0,0
12/03/2020,14,3,0,0,0,0
13/03/2020,15,7,0,0,0,0
14/03/2020,16,7,0,0,0,0
15/03/2020,17,9,0,0,0,0
16/03/2020,18,10,0,0,0,0
17/03/2020,19,14,0,0,0,0
18/03/2020,20,27,0,0,0,0
19/03/2020,21,30,0,0,0,0
20/03/2020,22,34,0,0,0,0
21/03/2020,23,41,0,0,0,0
22/03/2020,24,55,0,0,0,0
23/03/2020,25,63,0,0,0,0
24/03/2020,26,79,0,0,0,0
25/03/2020,27,91,0,0,0,0
26/03/2020,28,108,0,0,0,0
27/03/2020,29,123,0,0,0,0
28/03/2020,30,127,0,0,0,0
29/03/2020,31,156,10,8,1,1
30/03/2020,32,176,10,8,0,1
31/03/2020,33,217,34,8,1,2
01/04/2020,34,246,16,17,0,2
02/04/2020,35,267,17,16,1,3
03/04/2020,36,289,18,17,2,5
04/04/2020,37,336,15,18,3,8
05/04/2020,38,401,8,19,1,9
06/04/2020,39,437,20,26,1,10
07/04/2020,40,462,18,29,4,14
08/04/2020,41,515,18,28,4,18
09/04/2020,42,568,21,26,1,19
10/04/2020,43,616,14,11,1,20
11/04/2020,44,640,27,29,1,21
12/04/2020,45,674,32,28,0,21
13/04/2020,46,723,32,28,1,22
14/04/2020,47,776,55,29,4,26
15/04/2020,48,884,61,38,2,28
16/04/2020,49,967,59,45,6,34
17/04/2020,50,1064,67,48,3,37
18/04/2020,51,1200,95,52,7,44
19/04/2020,52,1249,87,50,2,46
20/04/2020,53,1377,93,64,1,47
21/04/2020,54,1504,98,64,1,48
22/04/2020,55,1645,103,61,10,58
23/04/2020,56,1845,164,67,6,64
24/04/2020,57,1979,162,68,4,68
25/04/2020,58,2116,183,71,5,73
26/04/2020,59,2248,177,73,1,74
27/04/2020,60,2356,180,73,10,84
28/04/2020,61,2564,186,89,9,93
29/04/2020,62,2676,139,137,7,100
30/04/2020,63,2867,175,153,6,106
01/05/2020,64,3140,147,159,11,117
02/05/2020,65,3315,198,169,6,123
03/05/2020,66,3566,202,180,5,128
04/05/2020,67,3734,200,182,13,141
